Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-04-03,Adam's Rib,1949,https://boxd.it/13Qf2l,4,,"Oppure: come un film di settant'anni dia sia più profondo, intelligente e provocatorio dell'intero movimento me too",,2020-04-02
2020-10-16,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1pehn3,3,,"Andate a cagare voi, i jappo depressi, il meta a caso e quel pinguino di merda",,2020-10-15
