Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-09-04,The Book of Vision,2020,https://boxd.it/1kP82f,2.5,,Gli occhi del cuore 3,,2020-09-03
2020-09-04,The Disciple,2020,https://boxd.it/1kR7Eh,3,,A quanto pare i versi che faccio quando digerisco cibo indiano sono considerati musica classica. Il Cinema insegna anche questo,,2020-09-04
2020-09-05,Pieces of a Woman,2020,https://boxd.it/1kWqfP,4,,Vanessa pure quando rutti sei bellisisma,,2020-09-04
2020-09-09,The Macaluso Sisters,2020,https://boxd.it/1ltKrd,1.5,,Piccioni di merda,,2020-09-09
2020-09-10,Samp,2020,https://boxd.it/1lzsNx,4,,L'eric Andre italiano,,2020-09-10
2020-09-18,The Devil All the Time,2020,https://boxd.it/1mkTL3,2.5,,Pattinson e levati st'accento sudista che pari ritardato,,2020-09-18
2020-09-21,The House of Love,2020,https://boxd.it/1mDDOX,3,,Numero di NOOOOOOOOOOOOO detti durante la visione: 53,,2020-09-20
2020-09-21,Divinely Evil,2020,https://boxd.it/1mEyvt,3.5,,Numero di NOOOOOOOOO detti durante la visione: 12875,,2020-09-20
2020-09-22,The Driller Killer,1979,https://boxd.it/1mLFbp,3.5,,Abel da giovane aveva i denti perfetti e riusciva ad essere ancora piu brutto di adesso,,2020-09-22
2020-09-28,Tenet,2020,https://boxd.it/1nkz5Z,2.5,Yes,Nolan sei sempre un pazzouomo MA I DIALOGHI MANNAGGIA ALLA VITA FALLI SCRIVERE A QUALCUNO CAPACE PROCEDURAOPERATIVASTANDARD DE STA CEPPA BASTA HAI POSTATO CRINGE,,2020-09-27
2020-10-08,Hubie Halloween,2020,https://boxd.it/1op8Np,3,,Top magliette,,2020-10-08
2020-10-16,Neon Genesis Evangelion,1995,https://boxd.it/1pehED,2.5,,"Andate a cagare voi, i jappo depressi, il meta a caso e quel pinguino di merda",,2020-10-15
2020-10-17,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1pkzKL,3,,Sempre jappo depressi e seghe mentali inutili ma almeno è tamarro,,2020-10-16
2020-10-18,Pather Panchali,1955,https://boxd.it/1pskGP,5,,Top nonnett ❤,,2020-10-17
2020-10-19,Aparajito,1956,https://boxd.it/1pAuM5,5,,"Io nel finale 
https://youtu.be/RoO-wvnxyWs",,2020-10-18
2020-10-24,Fireball: Visitors From Darker Worlds,2020,https://boxd.it/1q6aQ1,4.5,,La bellezza del caos e i droni di ziett ❤,,2020-10-23
2020-10-25,The Trial of the Chicago 7,2020,https://boxd.it/1qeDij,2.5,,"""Stop talking. Just stop talking""

Sorking è il Gramellini americano",,2020-10-24
2020-10-28,Famo$o,2020,https://boxd.it/1qE7Kn,2,,"NON
C'ERA
UNA
DONNA",,2020-10-28
2020-11-01,Antfarm Dickhole,2011,https://boxd.it/1r6leh,3,,Miglior script di Aaron Sorkin,,2020-11-01
2020-11-07,Essene,1972,https://boxd.it/1rK6VF,3.5,,Dreyer fan fiction,,2020-11-07
2020-11-10,Anna,1975,https://boxd.it/1s42Hp,4.5,,https://youtu.be/go6K37T-un4?t=31,,2020-11-10
2020-11-19,My Name Is Francesco Totti,2020,https://boxd.it/1sVBjj,3.5,,cries in 🅰️🅾️ intensifies,,2020-11-18
2020-11-22,The New Mutants,2020,https://boxd.it/1tgqsL,1.5,,Orsi con la congiuntivite,,2020-11-22
2020-12-07,The Great Escape,1963,https://boxd.it/1uW0fT,4,,Che belli i film con solo uomini bianchi etero,,2020-12-06
2020-12-07,Black Bear,2020,https://boxd.it/1uXj5F,2,,Obri plaza,,2020-12-07
2020-12-08,Zappa,2020,https://boxd.it/1v3zgB,2.5,,Doc poco interessante sul compositore piu interessante del 20° secolo,,2020-12-07
2020-12-08,Meat,1976,https://boxd.it/1v4C8n,3.5,,Ho fame,,2020-12-08
2020-12-11,Jubilee,1978,https://boxd.it/1vm9yR,3.5,,https://youtu.be/DcIOTRDswF8,,2020-12-10
2020-12-12,Malmkrog,2020,https://boxd.it/1vsNtp,4,,Figa sta puntata del salotto monogatari oh,,2020-12-12
2020-12-13,Phantom Thread,2017,https://boxd.it/1vyZiv,5,Yes,PTA l'unico che ha ancora interesse negli esseri umani,,2020-12-12
2020-12-14,Once Upon a Time in China II,1992,https://boxd.it/1vHzB5,4,,CINESI VOLANTI,,2020-12-13
2020-12-16,Wolfwalkers,2020,https://boxd.it/1vVSJP,4,,Piange coi lupi,,2020-12-16
2020-12-17,Rose Island,2020,https://boxd.it/1w0os5,2.5,,Rinascita = totale assenza di visione ma non è un cinepattone quindi è bello per forza,,2020-12-16
2020-12-18,Another Round,2020,https://boxd.it/1w5uBR,2.5,,"Tipo Sibillia ma con i cori, camera a mano e gli scandinavi depressi rompicoglioni",,2020-12-17
2020-12-18,Let Them All Talk,2020,https://boxd.it/1w8orn,2.5,,Maryl Streep è la Seth Rogen delle vecchie,,2020-12-18
2020-12-23,Lovers Rock,2020,https://boxd.it/1wK1Zn,3,,https://youtu.be/l463ETVp9Wc,,2020-12-22
2020-12-24,Mangrove,2020,https://boxd.it/1wSeXv,4,,'tacci a sto 2020 pure un film di mcQueen che mi piace,,2020-12-23
2020-12-25,DuckTales: The Movie - Treasure of the Lost Lamp,1990,https://boxd.it/1wZEV5,3,,"Ah si i film della mia infanzia: l'animazione 2D, le espressioni facciali esagerate, il fiero razzismo verso gli arabi. Datemi una macchina del tempo",,2020-12-24
2020-12-26,Soul,2020,https://boxd.it/1x9LRT,3.5,,"Tanto mestiere, poca soul.

Still, a rappresentare il jazz ci siamo liberati di Whiplash. Basta questo come regalo di Natale.",,2020-12-25
2020-12-30,A Hidden Life,2019,https://boxd.it/1xULtB,4,,Atmospheric Black Metal album cover: The movie,,2020-12-30
2021-01-02,The Triplets of Belleville,2003,https://boxd.it/1yp0eL,4,,Il più poetico dissing agli usa mai fatto,,2021-01-01
2021-01-03,The Arrangement,1969,https://boxd.it/1yEhC1,4,,"Il Laureato, ma sulla crisi di mezz'età.
O mad man per gli uomini di cultura",,2021-01-02
2021-01-15,Silent Light,2007,https://boxd.it/1AAhQ3,4,,Carlone chad assoluto non solo copi Dreyer ma lo fai pure bene,,2021-01-14
2021-01-19,Edward II,1991,https://boxd.it/1BfXkb,4,,https://youtu.be/eQQbIzQfQXo,,2021-01-18
2021-02-06,Malcolm & Marie,2021,https://boxd.it/1DMsWH,2.5,,"Primi quaranta minuti: HI-HA
Ultima ora: NONONONONONO",,2021-02-05
2021-02-22,Judas and the Black Messiah,2021,https://boxd.it/1G70Jl,3.5,,Peggio di kazan,,2021-02-21
2021-02-23,Shiva Baby,2020,https://boxd.it/1GhSGP,3.5,,Baby your enthusiasm,,2021-02-22
2021-03-02,Road to Nowhere,2010,https://boxd.it/1He8PJ,3.5,,Heavy Meta,,2021-03-02
2021-03-03,To the Wonder,2012,https://boxd.it/1Hle1p,4,,E comunque Olga Kurylenko è una Liya Silver senza zinne,,2021-03-02
2021-03-07,Theory of Obscurity: A Film About the Residents,2015,https://boxd.it/1HOd4b,3.5,,No ma continuate pure a stare dietro a Willy peyote mi raccomando,,2021-03-06
2021-03-12,Voyage of Time: Life's Journey,2016,https://boxd.it/1IvKCr,2.5,,"Cate blanchett diosanto stai zitta.
Però pescion casinaron simpatici",,2021-03-11
2021-03-16,Limite,1931,https://boxd.it/1J5jef,4.5,,GABALBINI,,2021-03-15
2021-03-18,Triumph of the Will,1935,https://boxd.it/1JkuWH,3.5,,La farmacia è di là,,2021-03-17
2021-03-21,The Swimmer,1968,https://boxd.it/1JFBb1,4,,Più felliniano di altman,,2021-03-20
