Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-12-03,Parasite,2019,https://boxd.it/T5Drl,4.5,,,2019-12-02
2019-12-03,Ford v Ferrari,2019,https://boxd.it/T6Imn,2.5,,,2019-12-03
2019-12-04,The Souvenir,2019,https://boxd.it/Tad59,3.5,,,2019-12-03
2019-12-05,Dolemite Is My Name,2019,https://boxd.it/TcjaN,3,,,2019-12-04
2019-12-06,The Aviator,2004,https://boxd.it/TiXOv,4.5,Yes,,2019-12-05
2019-12-07,Triple Frontier,2019,https://boxd.it/TkWXZ,3,,,2019-12-06
2019-12-08,Rocketman,2019,https://boxd.it/Tp3pD,3.5,,,2019-12-07
2019-12-09,La Grande Bouffe,1973,https://boxd.it/Tu5uP,5,,,2019-12-08
2019-12-10,It Must Be Heaven,2019,https://boxd.it/Tyqcb,4,,,2019-12-09
2019-12-11,The Wild Goose Lake,2019,https://boxd.it/TAON5,3.5,,,2019-12-10
2019-12-11,Bacurau,2019,https://boxd.it/TBCrt,4.5,,,2019-12-10
2019-12-12,Avengers: Infinity War,2018,https://boxd.it/TEX0z,3.5,,,2019-12-11
2019-12-12,Avengers: Endgame,2019,https://boxd.it/TFRsf,3.5,,,2019-12-11
2019-12-13,Zombi Child,2019,https://boxd.it/TJ3RR,3,,,2019-12-12
2019-12-13,High Flying Bird,2019,https://boxd.it/TJog3,3,,,2019-12-12
2019-12-15,Portrait of a Lady on Fire,2019,https://boxd.it/TOEXH,4,,,2019-12-14
2019-12-15,Serpico,1973,https://boxd.it/TSZGZ,4,,,2019-12-14
2019-12-16,Glass,2019,https://boxd.it/TVkVP,3.5,,,2019-12-15
2019-12-16,Ready or Not,2019,https://boxd.it/TVR9T,3,,,2019-12-15
2019-12-17,Uncut Gems,2019,https://boxd.it/U0pVl,4.5,,,2019-12-16
2019-12-18,Bliss,2019,https://boxd.it/U3Lz3,1.5,,,2019-12-17
2019-12-18,Monos,2019,https://boxd.it/U4bHd,3.5,,,2019-12-18
2019-12-19,Atlantics,2019,https://boxd.it/U7Dun,3,,,2019-12-18
2019-12-19,Tommaso,2019,https://boxd.it/U88sd,4,,,2019-12-18
2019-12-21,Isadora's Children,2019,https://boxd.it/UfHk3,3,,,2019-12-20
2019-12-21,The Lighthouse,2019,https://boxd.it/UgkEV,5,,,2019-12-20
2019-12-21,Il sindaco del Rione Sanità,2019,https://boxd.it/UgU6l,3.5,,,2019-12-20
2019-12-22,Pinocchio,2019,https://boxd.it/UiTRT,3,,,2019-12-21
2019-12-22,Bonnie and Clyde,1967,https://boxd.it/Ulasl,4.5,Yes,,2019-12-21
2019-12-23,To Be or Not to Be,1942,https://boxd.it/UqAcD,4.5,Yes,,2019-12-22
2019-12-24,Carol,2015,https://boxd.it/UvQix,4,Yes,,2019-12-23
2019-12-25,Indiana Jones and the Last Crusade,1989,https://boxd.it/UB23z,4.5,Yes,,2019-12-24
2019-12-26,Pom Poko,1994,https://boxd.it/UDZEj,4.5,,,2019-12-25
2019-12-26,Klaus,2019,https://boxd.it/UEZGr,3,,,2019-12-25
2019-12-26,The Lighthouse,2019,https://boxd.it/UFCiX,5,Yes,,2019-12-25
2019-12-27,Brazil,1985,https://boxd.it/ULygZ,5,Yes,,2019-12-26
