Date,Name,Year,Letterboxd URI,Rating
2019-09-10,The Third Man,1949,https://boxd.it/294E,5
2019-09-10,Schindler's List,1993,https://boxd.it/2aq2,5
2019-09-10,L'Atalante,1934,https://boxd.it/ThU,5
2019-09-10,The Life of Oharu,1952,https://boxd.it/UFy,5
2019-09-10,Ran,1985,https://boxd.it/1Tlu,5
2019-09-10,Stagecoach,1939,https://boxd.it/297S,5
2019-09-10,After Hours,1985,https://boxd.it/1VfS,5
2019-09-10,The Grapes of Wrath,1940,https://boxd.it/2a2u,5
2019-09-10,Izo,2004,https://boxd.it/1REO,5
2019-09-10,The Conformist,1970,https://boxd.it/20cE,5
2019-09-10,Sansho the Bailiff,1954,https://boxd.it/1Dkq,5
2019-09-10,Rio Bravo,1959,https://boxd.it/2aE4,5
2019-09-10,Throne of Blood,1957,https://boxd.it/251w,5
2019-09-10,Fantasia,1940,https://boxd.it/29HG,5
2019-09-10,Rashomon,1950,https://boxd.it/2a9K,5
2019-09-10,Heimat,1984,https://boxd.it/mKpY,5
2019-09-10,The Battle of Algiers,1966,https://boxd.it/1IRY,5
2019-09-10,The Baby of Mâcon,1993,https://boxd.it/23qu,5
2019-09-10,Caro diario,1993,https://boxd.it/1vT8,4.5
2019-09-10,Some Like It Hot,1959,https://boxd.it/2aNA,5
2019-09-10,Collateral,2004,https://boxd.it/28F0,4.5
2019-09-10,Phantom Thread,2017,https://boxd.it/e4uc,5
2019-09-10,Dressed to Kill,1980,https://boxd.it/1UO8,4.5
2019-09-10,Chimes at Midnight,1965,https://boxd.it/299k,4.5
2019-09-10,High and Low,1963,https://boxd.it/1RSc,4.5
2019-09-10,The Trial,1962,https://boxd.it/25Xg,5
2019-09-10,Lincoln,2012,https://boxd.it/2n2s,4.5
2019-09-10,'Til Madness Do Us Part,2013,https://boxd.it/6oFS,5
2019-09-10,Naked Lunch,1991,https://boxd.it/26ow,5
2019-09-10,Multiple Maniacs,1970,https://boxd.it/1vs2,4.5
2019-09-10,The Apartment,1960,https://boxd.it/2aGE,4.5
2019-09-10,The Exterminating Angel,1962,https://boxd.it/1nRS,4.5
2019-09-10,Nosferatu,1922,https://boxd.it/29TM,5
2019-09-10,Nosferatu the Vampyre,1979,https://boxd.it/21J0,4.5
2019-09-10,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,5
2019-09-10,Fitzcarraldo,1982,https://boxd.it/1YV8,5
2019-09-10,Pulp Fiction,1994,https://boxd.it/29Pq,5
2019-09-10,Jackie Brown,1997,https://boxd.it/2aVO,5
2019-09-10,Equinox Flower,1958,https://boxd.it/2lkY,4.5
2019-09-10,Twentieth Century,1934,https://boxd.it/1ifE,4.5
2019-09-10,Audition,1999,https://boxd.it/1UHm,4.5
2019-09-10,Gummo,1997,https://boxd.it/1H0Y,4.5
2019-09-10,The Invisible Man,1933,https://boxd.it/1VoK,4.5
2019-09-10,Kings of the Road,1976,https://boxd.it/1Vhk,4.5
2019-09-10,Band of Outsiders,1964,https://boxd.it/20Aw,4
2019-09-10,La Jetée,1962,https://boxd.it/29Sk,4.5
2019-09-10,An American Werewolf in London,1981,https://boxd.it/29yk,4.5
2019-09-10,The Blues Brothers,1980,https://boxd.it/2adi,5
2019-09-10,Carrie,1976,https://boxd.it/20ZQ,4.5
